ID,OriginalAmount,TermYears,Collateral_valuation,CurrentInstallment,Rate,PD,LGD
23352,1193235,12,1235087,75,11.90%,73.68%,69.9%
25686,1775776,12,1847164,126,5.50%,23.70%,58.9%
2218,403317,36,117765,396,6.10%,0.00%,39.6%
14526,1704262,34,487399,392,7.60%,58.30%,9.2%
14598,586311,23,489410,245,12.90%,1.01%,44.5%
22303,2035311,11,1069814,7,10.00%,16.31%,40.7%
25919,1303459,34,1937404,198,8.30%,5.58%,33.1%
20885,1570410,55,904541,180,9.70%,74.58%,57.6%
27043,4918984,22,2616847,248,10.50%,11.54%,32.2%
11243,352918,11,361842,79,4.00%,29.70%,65.5%
5747,308049,22,207126,114,9.90%,17.25%,42.8%
3120,211525,20,141770,159,5.50%,0.02%,43.9%
24227,4296978,11,1403628,110,11.40%,0.95%,35.4%
10476,1653109,35,336328,332,12.60%,0.00%,70.2%
5776,196443,23,208005,10,8.50%,0.27%,50.2%
14480,733361,47,485011,61,9.60%,2.05%,45.5%
5742,341607,12,207126,102,12.30%,36.18%,68.5%
3013,699929,11,138880,70,5.20%,0.00%,70.5%
24694,3009355,11,1521896,61,9.60%,70.76%,28.7%
9251,336328,24,300508,246,7.10%,10.34%,64.5%
24477,1254945,22,1463831,64,7.70%,18.81%,34.7%
24633,1278825,35,1502792,85,10.60%,35.76%,59.4%
26868,2365104,19,2490158,134,6.60%,17.99%,61.5%
26964,3381754,33,2566574,333,7.70%,0.70%,83.3%
27584,5010230,48,3232568,418,9.80%,28.99%,94.7%
18998,940109,23,743667,61,7.60%,24.59%,79.5%
6053,310814,22,214038,217,10.60%,63.13%,76.3%
10039,598251,35,320869,242,8.70%,18.65%,19.9%
15053,984098,11,510902,43,10.00%,4.61%,54.2%
14410,440142,21,480863,249,11.40%,0.00%,59.8%
25483,1245896,35,1763962,251,5.40%,9.15%,36.5%
6954,315590,22,236787,94,11.40%,0.00%,16.7%
8988,741907,24,292464,33,11.00%,0.10%,57.5%
27846,3477776,20,3750885,202,12.90%,31.91%,48.4%
22882,1124863,35,1153142,146,4.30%,5.15%,84.4%
707,220448,24,66989,155,5.50%,40.14%,39.6%
15437,481743,35,527240,71,2.80%,56.24%,67.7%
22225,958208,48,1059634,473,8.60%,8.07%,63.0%
14233,673661,36,473574,231,3.70%,25.69%,74.7%
27540,3092180,36,3167590,196,12.60%,9.14%,41.1%
603,163388,21,62590,84,2.90%,10.01%,15.9%
12643,344372,23,410607,53,7.80%,3.84%,41.7%
8608,607803,23,281907,273,7.00%,99.57%,83.4%
1980,716896,23,110852,126,9.70%,59.26%,30.5%
24772,1787464,46,1543765,147,12.00%,4.91%,54.1%
13280,372525,22,434612,153,5.40%,56.57%,18.2%
27830,3583098,22,3700109,5,7.30%,57.34%,74.4%
6192,177339,23,217683,99,11.10%,13.77%,33.7%
22604,1074590,23,1108022,71,6.20%,6.10%,29.2%
25144,2855268,12,1646574,94,10.90%,2.59%,31.1%
8153,369131,23,268459,93,12.90%,1.13%,44.1%
21203,920251,13,938224,41,4.60%,10.91%,79.3%
6218,262426,11,218060,39,4.00%,1.31%,56.3%
8562,239049,22,280650,47,4.50%,22.22%,53.0%
22188,1079617,38,1056366,329,10.80%,24.24%,70.8%
13225,526989,22,431721,181,4.20%,48.34%,73.4%
7398,247973,12,248978,100,8.90%,32.81%,65.0%
4129,756989,35,167284,70,2.40%,0.63%,59.0%
12658,282913,22,410984,111,10.70%,15.94%,39.5%
26655,1966940,36,2343486,424,10.20%,21.86%,18.3%
17395,851754,34,636459,166,9.20%,0.39%,64.4%
4823,316973,12,184377,133,11.70%,35.21%,71.8%
26994,2726820,18,2588066,61,10.80%,2.50%,33.9%
9539,352290,24,307923,23,6.50%,75.21%,4.0%
2778,294475,23,132470,55,7.90%,24.74%,41.1%
27326,3183049,22,2905667,131,12.70%,25.64%,38.8%
24753,1892787,22,1538486,125,7.80%,13.17%,50.9%
75,246339,33,20361,112,3.70%,0.25%,76.1%
26253,1634760,23,2118891,3,4.00%,1.54%,11.1%
23461,930557,47,1251803,298,5.40%,28.37%,50.9%
22209,1599191,33,1058503,265,11.90%,29.06%,60.8%
21377,1237978,11,957705,12,4.80%,21.24%,36.0%
14655,885060,24,492678,149,4.70%,2.38%,77.0%
25878,3400732,31,1919055,204,10.50%,74.32%,35.4%
13192,418148,23,430590,49,9.20%,10.45%,60.9%
26492,2150060,33,2254126,189,11.00%,24.69%,53.9%
15267,819202,23,519448,235,4.90%,72.22%,43.0%
19552,800098,22,785896,113,11.30%,1.54%,60.1%
24809,1448372,13,1553191,142,7.10%,7.16%,66.8%
18950,589077,34,738388,307,8.40%,5.22%,62.5%
16171,1033995,15,564191,73,11.10%,0.38%,18.6%
7797,317350,22,259536,16,9.70%,6.84%,17.6%
974,495443,24,77546,256,11.30%,6.32%,36.9%
10271,554765,24,328158,264,10.20%,94.41%,43.7%
11717,398918,11,377301,39,6.30%,18.51%,71.3%
17997,1135672,36,672153,242,2.10%,78.87%,70.3%
18785,760508,24,724186,276,2.20%,0.00%,42.3%
21495,1205678,48,970776,164,8.00%,0.08%,81.9%
19458,659333,22,778984,234,11.20%,60.25%,57.2%
26019,2045240,23,1994590,219,3.60%,22.74%,43.5%
20826,788661,22,899262,213,6.20%,9.01%,38.7%
13592,375164,11,445923,62,10.60%,41.15%,39.1%
25033,1329852,11,1614902,69,10.90%,1.08%,37.3%
2627,823224,34,128322,81,4.40%,7.67%,72.4%
23018,1147989,21,1175011,65,6.50%,7.44%,33.1%
2457,393891,22,123923,224,2.00%,0.10%,73.0%
3455,213284,11,150317,5,8.30%,38.44%,62.8%
13403,722426,21,439891,99,5.40%,93.00%,16.7%
1256,176082,23,88104,75,11.10%,0.03%,70.1%
17083,814678,24,617355,238,4.10%,30.94%,63.7%
2632,196066,22,128322,180,5.50%,28.26%,22.2%
4433,205743,13,175831,70,12.10%,3.01%,73.8%
19394,682585,22,774082,41,4.30%,0.60%,26.9%
17354,2281273,45,633191,17,7.10%,87.13%,63.3%
7180,332557,23,243699,249,10.50%,30.18%,70.3%
9025,395148,23,293596,266,10.20%,35.42%,63.0%
3846,238421,11,159995,24,12.20%,2.57%,10.9%
17872,1119836,36,664486,138,4.20%,28.06%,54.4%
5348,154590,23,197825,218,6.00%,16.31%,47.1%
8479,259787,20,277760,132,10.60%,0.00%,37.3%
8500,363224,23,278639,22,5.30%,0.11%,28.8%
1584,702317,12,99541,14,3.10%,0.00%,42.1%
4912,592721,24,186388,38,7.50%,25.76%,59.8%
8448,435995,23,277005,52,7.00%,1.81%,37.0%
16825,837678,11,601896,88,7.60%,5.32%,74.6%
25059,2139000,47,1622191,447,13.00%,6.75%,91.7%
6833,226481,11,233519,126,2.50%,0.11%,81.6%
10329,385470,23,331426,6,3.20%,12.06%,79.3%
20141,658328,22,835415,212,4.80%,39.75%,19.5%
15085,1690437,59,512158,492,7.20%,12.61%,40.7%
19065,700809,23,748191,191,4.20%,21.34%,75.8%
12951,458995,23,422044,166,5.60%,29.02%,26.2%
10943,4085454,57,351787,193,7.40%,20.66%,41.6%
18538,754852,41,707973,288,12.90%,22.70%,70.9%
7984,355809,11,264060,103,2.30%,30.94%,61.8%
23776,1627973,22,1311126,61,6.50%,10.80%,57.4%
4092,272230,25,166530,231,6.60%,0.05%,51.8%
12920,478475,36,421164,342,10.20%,8.09%,88.1%
1155,211902,11,84459,29,13.00%,0.79%,31.2%
1450,541568,59,94262,399,4.30%,42.90%,5.5%
12391,748317,47,400929,519,10.00%,0.00%,52.0%
16026,600765,12,556902,103,11.80%,26.53%,35.4%
23289,1073836,47,1225787,86,9.50%,32.39%,49.7%
6895,456858,23,235153,240,11.30%,0.15%,40.8%
13924,494689,34,460628,59,5.50%,0.22%,8.2%
12474,567082,23,404071,120,11.20%,0.37%,80.0%
12727,637590,13,413874,79,10.40%,25.84%,82.3%
17099,951923,23,618235,122,4.10%,0.73%,53.4%
14002,344372,11,463393,104,2.50%,28.17%,34.0%
18361,613962,24,696158,110,8.90%,73.51%,59.5%
25595,1571792,12,1811093,47,3.20%,2.93%,74.2%
12549,457109,22,406962,120,9.20%,91.42%,99.0%
14521,494563,11,487022,91,8.40%,4.74%,40.0%
22021,4518432,36,1034497,159,12.00%,1.80%,30.3%
12516,507885,11,406208,67,9.10%,39.75%,42.7%
728,207503,12,67869,55,3.40%,21.04%,40.4%
4766,230628,11,183120,27,11.60%,40.35%,39.7%
7580,653803,23,253503,66,3.80%,49.09%,6.6%
23898,1061268,23,1335508,96,7.50%,6.19%,33.4%
6953,570978,23,236787,255,7.60%,10.91%,61.5%
2013,844716,34,111732,212,3.60%,86.63%,67.4%
23613,1131776,35,1278574,126,2.40%,2.85%,62.6%
6149,266197,11,216049,88,5.70%,75.95%,9.7%
23588,1208945,23,1272918,100,5.20%,81.03%,66.7%
2219,191918,11,117765,90,10.40%,15.77%,62.2%
18812,823098,23,726574,210,8.40%,1.42%,84.4%
20915,2627530,28,907809,129,10.70%,24.86%,57.1%
13983,542574,30,463016,348,7.30%,0.02%,27.2%
1108,389115,22,82825,65,7.80%,42.93%,65.1%
15538,602902,24,532519,198,11.20%,46.28%,59.1%
5019,325519,12,189279,133,6.30%,0.00%,50.9%
21643,1524033,23,987366,147,12.20%,71.59%,84.2%
9598,314710,11,309055,7,4.80%,0.07%,37.0%
16210,1098219,12,566202,55,5.00%,73.81%,18.3%
20632,2037951,23,879781,219,3.40%,10.76%,68.2%
26410,2022115,32,2216421,46,3.00%,61.63%,87.5%
14428,1164831,35,482497,241,4.20%,66.30%,93.3%
15315,413246,12,521962,130,7.40%,58.47%,56.6%
25429,4568579,47,1741213,426,11.30%,27.80%,71.1%
19929,703197,12,817568,121,6.00%,2.80%,38.9%
13608,691760,35,447180,33,5.60%,74.54%,56.5%
12196,828377,20,393514,15,2.10%,5.06%,38.1%
21977,2898754,21,1027585,80,11.60%,67.11%,68.2%
6722,757240,30,230754,232,5.20%,22.17%,85.4%
18756,745426,23,722552,154,11.80%,0.21%,37.1%
19895,1213344,23,815180,107,12.40%,35.41%,82.1%
13912,655311,11,460126,129,2.90%,0.00%,35.1%
12021,444667,12,387481,5,7.80%,34.61%,44.7%
6891,471186,12,235153,129,11.10%,1.39%,63.6%
28217,6598863,24,5238596,113,7.20%,4.23%,78.2%
14193,387732,23,471940,27,9.80%,62.66%,31.6%
14592,774585,11,489410,46,6.50%,5.31%,54.2%
2277,216049,12,119022,9,7.40%,0.03%,68.4%
26949,4667617,57,2547847,121,8.00%,1.19%,62.4%
361,224596,24,46754,56,9.70%,62.08%,25.5%
7864,322000,23,260792,116,3.00%,75.68%,59.4%
3277,514798,22,145415,36,11.60%,87.26%,84.1%
3341,425563,23,147426,139,6.90%,2.22%,47.0%
6731,251115,13,231131,74,2.90%,17.28%,63.7%
2690,228743,23,129579,212,3.10%,99.70%,41.1%
19422,602776,35,775716,40,10.20%,90.23%,50.3%
25669,1988306,11,1842765,75,8.30%,0.06%,61.6%
3059,444164,11,139760,58,9.60%,17.05%,72.4%
16632,1320301,11,589705,49,8.90%,74.24%,34.7%
1530,278639,23,97530,163,6.70%,2.01%,62.2%
18762,1571792,47,722929,232,9.70%,15.30%,54.1%
4621,151825,13,179978,74,5.60%,10.25%,30.8%
23288,905672,45,1225787,498,10.80%,49.78%,28.4%
18032,948656,23,674164,263,3.30%,3.01%,15.6%
15727,628038,24,540563,5,8.70%,6.42%,95.6%
1883,155344,23,108464,48,3.40%,19.01%,23.8%
12418,524475,11,402060,101,8.70%,82.02%,89.4%
23810,1737694,36,1317536,419,4.50%,0.28%,93.7%
12661,401055,39,410984,455,7.30%,12.29%,42.4%
