ID,OriginalAmount,Term,YearlyInterestRate,CurrentInstallment,PD
287,1848,58,31%,43,41.05%
288,4996,23,22%,5,1.16%
289,8008,35,32%,15,39.74%
290,3158,23,29%,14,56.31%
291,7508,47,28%,11,0.17%
292,9134,23,27%,21,29.31%
293,1936,47,23%,19,0.78%
294,4037,22,12%,14,13.75%
295,12470,23,5%,3,19.30%
296,18159,23,7%,3,11.81%
297,2504,59,20%,7,54.16%
298,8072,34,23%,17,4.65%
299,3247,23,30%,10,1.50%
300,8432,23,31%,18,43.84%
301,6290,23,26%,15,57.25%
302,5251,55,12%,15,28.78%
303,4884,44,23%,8,0.00%
304,2507,23,11%,10,62.09%
305,10097,41,18%,33,1.07%
306,9592,23,31%,4,2.76%
307,5612,59,15%,36,7.59%
308,1990,23,7%,14,6.13%
309,6951,48,20%,24,1.22%
310,6071,23,8%,5,1.52%
311,8432,20,17%,5,3.22%
312,6020,47,30%,29,85.71%
313,8744,35,13%,25,0.53%
314,1939,22,29%,10,28.64%
315,4075,21,20%,8,24.40%
316,2579,19,29%,10,32.90%
317,10776,23,21%,16,71.94%
318,3946,35,10%,21,3.11%
319,3846,21,13%,18,15.56%
320,13025,12,11%,10,2.44%
321,4228,47,23%,45,18.60%
322,3394,23,8%,17,99.29%
323,4717,23,12%,18,56.23%
324,9530,21,13%,7,6.32%
325,19647,48,29%,13,32.54%
326,4965,24,30%,15,0.09%
327,3976,24,15%,20,0.41%
328,15500,23,28%,1,40.08%
329,6642,58,14%,14,68.39%
330,2899,21,24%,17,0.07%
331,2842,23,5%,1,0.38%
332,2229,21,21%,8,1.54%
333,3378,48,9%,6,0.72%
334,25459,32,29%,16,50.78%
335,3728,20,9%,11,0.00%
336,5928,24,32%,11,1.40%
337,4213,23,32%,11,51.25%
338,10247,36,11%,15,1.23%
339,8224,23,26%,10,17.74%
340,3548,36,27%,1,24.44%
341,2816,22,10%,14,0.00%
342,5016,34,28%,25,2.13%
343,1921,11,5%,3,54.49%
344,7855,23,11%,16,4.93%
345,7381,23,8%,2,36.49%
346,5124,31,15%,25,60.20%
347,7030,21,5%,9,10.96%
348,7478,22,21%,10,12.11%
349,4008,23,29%,20,48.26%
350,8961,33,25%,24,81.51%
351,7861,47,16%,17,1.08%
352,3090,23,14%,9,8.85%
353,3149,22,16%,12,1.89%
354,3854,58,29%,35,0.00%
355,6038,25,12%,8,0.01%
356,3687,35,13%,4,0.19%
357,4101,36,23%,10,34.94%
358,8766,48,15%,30,0.63%
359,7090,33,17%,5,3.19%
360,6349,36,31%,23,25.00%
361,9825,22,15%,7,37.42%
362,4717,11,14%,1,98.69%
363,26107,29,17%,9,3.51%
364,1661,23,24%,4,45.77%
365,13188,30,23%,24,94.23%
366,10209,22,32%,12,4.32%
367,11259,46,20%,32,1.94%
368,8376,22,24%,17,73.46%
369,3461,11,30%,6,2.67%
370,12299,11,12%,2,1.38%
371,2295,11,27%,4,0.01%
372,2778,11,5%,8,0.02%
373,9985,23,11%,13,0.07%
374,18533,59,29%,20,8.34%
375,46068,23,26%,11,74.80%
376,11725,27,27%,6,3.15%
377,6829,35,5%,32,12.34%
378,10592,33,25%,7,2.83%
379,5841,46,20%,33,2.78%
380,3251,24,13%,2,11.55%
381,30103,23,5%,1,2.18%
382,1574,24,21%,12,93.72%
383,6735,23,6%,20,42.01%
384,1201,22,23%,7,8.04%
385,6918,23,26%,16,54.28%
386,4022,47,27%,34,87.05%
387,4108,36,23%,10,2.35%
388,1422,13,29%,4,30.63%
389,8099,23,8%,6,0.20%
390,4226,23,9%,9,0.07%
391,12057,23,26%,16,2.73%
392,13202,35,24%,1,91.41%
393,3881,24,7%,18,1.67%
394,17178,22,12%,5,59.96%
395,6397,21,27%,7,13.68%
396,6535,12,5%,6,0.00%
397,3607,22,18%,11,65.43%
398,4065,23,13%,12,19.69%
399,41509,23,10%,21,59.82%
400,5584,30,31%,20,0.69%
401,2215,22,21%,5,0.03%
402,1736,13,10%,3,0.79%
403,12169,11,13%,4,8.41%
404,4863,18,29%,3,16.20%
405,4086,23,25%,8,7.45%
406,38854,47,8%,10,0.15%
407,35060,18,23%,4,11.97%
408,20420,34,30%,13,0.04%
409,3414,23,28%,18,0.08%
410,3597,23,10%,2,4.91%
411,2115,23,31%,9,3.56%
412,1431,23,32%,18,0.07%
413,1477,58,7%,23,13.11%
414,15425,13,15%,5,10.65%
415,1241,59,12%,5,70.21%
416,13484,19,14%,5,14.32%
417,8190,33,16%,13,48.17%
418,4562,20,9%,7,3.87%
419,1616,22,24%,4,96.66%
420,2751,31,5%,18,16.17%
421,3863,34,15%,2,55.98%
422,72406,24,8%,11,20.15%
423,1735,35,8%,31,20.04%
424,4609,23,27%,12,2.49%
425,4620,23,7%,17,48.28%
426,13578,24,6%,16,44.68%
427,2109,23,26%,13,4.22%
428,3484,22,9%,5,43.95%
429,13389,58,15%,7,68.59%
430,10230,26,20%,24,75.36%
431,5545,23,19%,16,23.78%
432,8972,23,14%,20,45.93%
433,10731,24,20%,12,0.67%
434,2335,46,5%,44,0.36%
435,4491,23,19%,1,3.53%
436,50271,25,23%,18,0.31%
437,1158,23,29%,12,1.68%
438,6384,49,16%,16,0.49%
439,3993,12,19%,4,64.72%
440,15754,35,22%,33,2.90%
441,4053,22,16%,20,42.25%
442,2039,23,24%,8,89.39%
443,1689,24,21%,21,2.27%
444,27026,47,22%,11,27.64%
445,3454,14,18%,7,2.27%
446,5178,23,22%,19,28.80%
447,8930,23,28%,14,0.61%
448,21673,23,8%,9,0.08%
449,10157,30,30%,22,20.71%
450,8300,12,6%,3,31.57%
451,4821,45,17%,20,61.32%
452,2340,47,14%,19,17.14%
453,3673,57,19%,28,0.59%
454,8375,23,19%,11,18.24%
455,2398,28,14%,5,33.09%
456,39415,34,16%,18,46.46%
457,8328,46,23%,44,15.44%
458,26103,23,26%,3,1.76%
459,6374,22,6%,18,9.27%
460,2236,12,16%,4,99.60%
461,10675,26,11%,6,3.50%
462,1545,12,29%,4,0.09%
463,10680,44,16%,27,16.33%
464,7823,47,27%,44,17.82%
465,3072,23,21%,17,57.76%
466,3566,23,23%,9,0.00%
467,7139,54,31%,42,0.00%
468,15022,22,8%,18,0.21%
469,1591,13,8%,4,19.29%
470,1314,23,11%,7,40.76%
471,1393,21,7%,11,35.60%
472,4430,32,28%,1,5.56%
473,9365,24,19%,15,0.54%
474,3677,16,15%,8,0.02%
475,19687,14,29%,1,48.42%
476,15649,23,31%,5,17.55%
477,6623,23,17%,18,92.90%
478,1968,12,27%,1,48.58%
479,4600,20,29%,9,89.95%
480,3147,20,23%,11,2.25%
481,5680,35,32%,30,0.00%
482,10142,23,24%,5,2.27%
483,2979,59,32%,51,1.33%
484,18327,23,12%,18,38.46%
485,1499,35,28%,32,61.89%
486,2876,47,26%,25,70.44%
487,4029,22,30%,12,6.11%
488,21671,35,12%,22,36.91%
489,9535,47,9%,15,2.81%
490,5468,15,13%,5,43.04%
491,5533,23,28%,15,75.19%
492,2178,23,32%,7,27.50%
493,40628,12,15%,1,23.47%
494,46068,23,30%,20,1.35%
495,2666,31,25%,24,64.02%
496,1866,22,27%,18,85.78%
497,1499,23,5%,5,22.60%
498,14132,36,27%,32,2.59%
499,5193,22,7%,12,0.54%
500,6166,23,18%,2,67.12%
501,6953,34,11%,13,48.04%
502,2649,46,28%,4,7.61%
503,9633,23,16%,9,2.06%
504,5178,23,17%,3,7.25%
505,3468,22,23%,10,64.65%
506,5852,47,16%,41,0.75%
507,20287,24,17%,17,44.68%
508,7958,42,28%,32,32.47%
509,3936,30,6%,16,0.01%
510,6388,23,7%,17,41.23%
511,22155,35,17%,2,4.49%
512,2348,20,16%,3,11.26%
513,4913,23,18%,10,22.69%
514,5128,16,28%,11,55.50%
515,34416,50,9%,3,0.91%
516,6118,23,21%,8,15.54%
517,11261,46,13%,8,58.53%
518,49143,48,14%,45,6.79%
519,9955,11,26%,2,0.02%
520,6780,23,15%,19,34.09%
521,3867,12,31%,10,19.92%
522,3057,47,31%,19,1.56%
523,12053,36,7%,3,30.99%
524,12505,47,5%,34,0.68%
525,2885,51,19%,20,9.94%
526,5102,35,8%,14,2.35%
527,4810,32,21%,10,75.11%
528,3489,13,31%,2,50.32%
529,11713,23,7%,16,11.23%
530,3568,23,9%,11,35.33%
531,5118,23,23%,3,62.51%
532,7433,47,30%,8,0.04%
533,2564,20,27%,11,0.00%
534,50549,22,16%,9,56.47%
535,4945,23,11%,1,30.39%
536,2917,28,13%,18,45.90%
537,3047,23,21%,15,31.22%
538,8406,23,19%,3,1.84%
539,22184,37,8%,6,6.84%
540,37239,23,8%,17,21.51%
541,1796,35,31%,8,63.67%
542,12838,23,14%,19,0.25%
543,6126,33,32%,26,4.11%
544,3075,21,17%,12,0.39%
545,2916,19,22%,9,0.57%
546,4223,22,27%,1,0.15%
547,5987,25,9%,18,58.38%
548,3711,34,24%,19,3.43%
549,9258,24,19%,21,95.66%
550,11362,34,11%,11,2.50%
551,2716,24,16%,10,26.39%
552,3508,22,16%,11,9.76%
553,7371,12,13%,7,11.59%
554,3018,18,27%,13,11.31%
555,2660,23,30%,21,16.10%
556,67281,22,25%,11,7.08%
557,1712,11,29%,6,0.03%
558,92686,29,14%,18,16.43%
559,3574,35,21%,12,3.52%
560,12450,36,10%,28,8.09%
561,2039,23,5%,6,14.93%
562,41411,24,23%,14,6.07%
563,1350,18,25%,3,0.00%
564,4478,15,7%,2,2.76%
565,4889,22,11%,13,97.30%
566,5775,24,23%,13,74.64%
567,3930,16,31%,1,0.00%
568,9941,45,17%,23,88.11%
569,13054,33,17%,29,9.15%
570,3064,30,22%,2,57.40%
571,9226,23,31%,15,3.42%
572,5949,23,20%,18,0.30%
573,8039,26,21%,13,65.89%
574,4860,12,32%,8,35.79%
575,4187,23,9%,4,0.43%
576,8363,11,19%,6,22.74%
577,24350,23,17%,10,1.91%
578,4783,47,9%,23,79.36%
579,3377,35,16%,3,1.83%
580,5111,23,6%,20,0.36%
581,7281,24,14%,21,5.81%
582,5085,11,32%,5,7.10%
583,3093,23,10%,12,39.24%
584,8442,22,21%,17,11.93%
585,3799,32,8%,2,60.40%
586,2210,23,14%,20,0.74%
587,8876,23,14%,11,40.89%
588,3702,23,29%,15,41.23%
589,8499,21,10%,6,0.01%
590,4830,23,25%,10,0.31%
591,1320,23,15%,11,0.87%
592,21345,23,21%,14,0.28%
593,1367,23,21%,9,32.16%
594,7982,23,29%,10,3.40%
595,1518,23,10%,11,1.70%
596,2251,11,9%,9,41.80%
597,1669,22,25%,12,55.60%
598,2116,11,12%,2,1.57%
599,52133,23,6%,14,89.29%
600,6365,23,27%,8,29.39%
601,1334,23,9%,20,8.89%
602,1428,22,15%,3,90.42%
603,9172,42,13%,2,7.22%
604,1825,11,14%,3,21.39%
605,4586,33,29%,31,5.12%
606,9623,22,8%,3,72.51%
607,1916,24,6%,6,31.38%
608,8872,35,24%,9,40.38%
609,1889,35,26%,25,1.11%
610,6666,23,30%,16,28.08%
611,23534,22,26%,20,69.39%
612,48335,23,9%,15,49.10%
613,25775,38,20%,16,51.50%
614,5259,23,30%,2,57.81%
615,2419,23,18%,21,51.49%
616,6611,47,21%,7,16.12%
617,6473,23,20%,3,11.13%
618,2381,23,16%,8,67.73%
619,8524,48,7%,46,88.10%
620,1864,23,26%,19,9.37%
621,3663,11,16%,1,95.78%
622,4102,36,25%,18,53.14%
623,13534,24,6%,4,0.00%
624,5536,21,15%,19,46.63%
625,1827,12,7%,5,20.43%
626,4490,23,25%,18,41.81%
627,1739,23,21%,14,61.23%
628,8655,28,29%,1,65.99%
629,3789,24,14%,9,18.17%
630,20269,24,25%,3,0.18%
631,3295,34,28%,26,59.43%
632,1997,35,28%,28,5.16%
633,1987,45,32%,35,22.43%
634,3529,12,22%,9,11.68%
635,10277,47,19%,25,18.66%
636,3701,22,23%,8,1.38%
637,37195,23,15%,4,3.15%
638,2219,22,13%,6,33.70%
639,5019,23,13%,21,0.01%
640,12581,23,10%,16,13.35%
641,4034,23,18%,13,29.26%
642,2857,36,8%,21,40.84%
643,4093,35,25%,3,1.22%
644,7677,12,16%,4,0.64%
645,3087,30,20%,2,2.49%
646,2442,23,8%,19,0.12%
647,3382,32,7%,21,88.75%
648,132168,46,27%,3,57.34%
649,7677,19,29%,12,0.57%
650,7174,23,27%,19,0.14%
651,4925,23,32%,12,51.23%
652,7958,36,24%,26,17.15%
653,6120,47,21%,6,0.03%
654,2710,23,27%,17,2.51%
655,10860,23,10%,10,31.18%
656,3985,23,8%,2,4.77%
657,3031,23,23%,17,40.08%
658,13526,46,32%,26,18.30%
659,14763,23,10%,19,14.44%
660,1917,48,26%,21,23.07%
661,4516,22,21%,6,59.71%
662,10167,47,18%,41,1.51%
663,68215,23,28%,13,5.39%
664,18139,58,29%,48,36.51%
665,8609,13,17%,11,29.16%
666,1302,19,25%,1,1.67%
667,21227,24,32%,7,52.46%
668,1689,23,8%,6,67.06%
669,28954,24,7%,6,0.84%
670,3741,29,21%,19,5.66%
671,11900,23,15%,13,66.24%
672,3625,47,24%,34,6.26%
673,4481,24,14%,18,10.45%
674,15536,23,17%,11,21.62%
675,5746,46,12%,20,0.00%
676,11923,15,5%,11,77.89%
677,21211,35,7%,20,1.62%
678,7363,22,14%,18,51.32%
679,2160,23,15%,4,10.30%
680,1632,24,30%,4,43.60%
681,21955,43,22%,12,10.91%
682,11606,24,10%,12,11.83%
683,4060,24,29%,7,61.71%
684,2848,23,26%,21,9.99%
685,3017,28,13%,17,17.35%
686,2707,20,5%,18,0.69%
687,6931,23,12%,3,0.17%
688,7168,23,12%,8,7.78%
689,4827,35,9%,4,0.03%
690,1470,60,24%,1,1.93%
691,11163,36,8%,34,40.20%
692,2178,23,11%,20,16.22%
693,14107,23,11%,16,0.01%
694,6378,36,28%,34,5.13%
695,2228,34,14%,10,0.76%
696,20472,22,17%,20,0.21%
697,1138,23,8%,13,13.41%
698,9100,28,20%,16,8.72%
699,2194,47,11%,42,1.23%
700,7471,29,8%,26,8.10%
701,2883,22,25%,18,6.10%
702,6511,24,22%,3,1.34%
703,6307,12,25%,4,0.34%
704,1687,12,27%,4,30.16%
705,6754,46,11%,5,1.41%
706,1177,21,18%,3,50.51%
707,2780,23,21%,12,0.00%
708,4765,32,32%,22,3.28%
709,5368,24,27%,6,56.95%
710,2447,40,32%,36,54.22%
711,1425,23,15%,4,38.96%
712,3474,35,20%,25,0.21%
713,3553,12,18%,3,0.30%
714,1462,23,6%,10,0.45%
715,2327,45,15%,17,6.72%
716,9039,22,30%,12,33.92%
717,3732,35,14%,15,5.42%
718,3868,21,11%,10,87.20%
719,4876,11,17%,1,15.12%
720,2557,22,21%,7,0.00%
721,1349,23,28%,1,69.41%
722,10324,22,21%,1,43.90%
723,5010,19,29%,10,0.13%
724,2708,23,28%,13,0.02%
725,1731,23,26%,4,80.28%
726,5894,23,27%,19,1.11%
727,1555,11,29%,4,50.29%
728,5530,47,14%,24,48.36%
729,6013,32,11%,29,0.00%
730,10265,24,19%,3,0.13%
731,7902,34,28%,22,0.04%
732,4638,59,5%,32,25.01%
733,16340,36,14%,19,24.85%
734,16156,23,28%,3,3.38%
735,11102,35,14%,22,16.52%
736,2652,22,11%,1,13.57%
737,9912,34,24%,2,11.44%
738,5548,23,25%,6,13.22%
739,1347,20,15%,6,20.16%
740,16437,34,12%,29,21.71%
741,2681,36,15%,12,0.02%
742,3489,22,15%,9,66.27%
743,29230,22,15%,5,1.04%
744,1278,11,19%,3,27.02%
745,14702,59,23%,46,20.72%
746,6148,11,7%,9,0.00%
747,2417,22,28%,4,13.51%
748,2018,21,32%,10,97.71%
749,2440,58,24%,28,16.68%
750,3395,23,17%,7,0.27%
751,71412,24,7%,10,67.20%
752,5435,23,8%,21,43.30%
753,30447,34,19%,25,77.22%
754,11701,46,17%,21,42.57%
755,6013,24,22%,2,15.65%
756,28936,23,11%,4,19.71%
757,1239,23,17%,17,0.33%
758,2314,35,12%,7,3.83%
759,2131,12,28%,8,40.73%
760,9115,33,13%,16,13.74%
761,4965,34,18%,8,0.06%
762,14656,34,24%,27,69.10%
763,8954,23,26%,14,55.65%
764,1479,23,25%,19,56.10%
765,4290,24,27%,21,29.71%
766,6547,22,28%,18,57.84%
767,16108,11,32%,9,27.39%
768,3360,23,12%,17,0.07%
769,39572,24,24%,17,27.15%
770,2783,24,27%,15,70.99%
771,4026,11,27%,8,0.05%
772,1602,47,26%,14,89.89%
773,10410,12,29%,5,2.74%
774,3509,22,10%,11,54.64%
775,2069,24,20%,9,28.33%
776,3044,13,8%,3,4.45%
777,7039,23,32%,14,22.63%
778,35076,14,30%,8,0.89%
779,20867,23,32%,6,0.17%
780,3494,35,32%,30,67.00%
781,2680,23,8%,5,42.98%
782,11089,33,12%,17,0.31%
783,5983,33,31%,28,43.47%
784,3318,16,31%,14,1.45%
785,3591,24,11%,4,19.24%
786,4644,35,32%,24,5.17%
787,3927,22,24%,6,97.04%
788,4588,20,11%,17,39.47%
789,4389,32,23%,26,9.87%
790,27040,17,20%,3,70.61%
791,2664,23,32%,18,1.88%
792,12778,49,7%,26,70.04%
793,3017,21,20%,12,0.25%
794,7817,23,28%,6,80.17%
795,2062,24,28%,11,21.84%
796,5624,48,31%,9,0.63%
797,5178,22,22%,14,8.82%
798,8096,13,27%,10,12.34%
799,4813,22,7%,8,93.27%
800,2517,24,24%,20,99.31%
801,18247,23,15%,13,8.49%
802,3325,23,10%,13,98.76%
803,5877,24,24%,18,23.16%
804,1875,22,23%,3,8.51%
805,12961,55,25%,21,0.29%
806,4138,48,14%,1,41.67%
807,1432,34,21%,18,72.62%
808,4809,22,30%,15,4.00%
809,6802,22,6%,8,3.22%
810,13519,47,23%,40,40.65%
811,2265,19,27%,16,0.06%
812,12570,47,21%,23,15.28%
813,3583,11,8%,9,21.16%
814,5388,22,6%,19,0.15%
815,2504,21,28%,15,69.17%
816,9982,22,8%,13,82.83%
817,11607,23,10%,14,4.25%
818,8480,12,8%,1,38.17%
819,4600,34,19%,17,85.90%
